Shipment_ID,Order_ID,Customer_ID,Customer_Name,Email,Phone,City,Country,Region,Postal_Code,Product_ID,Product_Name,Category,Weight_kg,Quantity,Unit_Price,Total_Price,Shipment_Date,Delivery_Date,Delay_Days,Status,Delivery_Mode,Vehicle_ID,Driver_Name,Transport_Type,Route_ID,Fuel_Cost,Distance_km,Delivery_Center,Warehouse_Name,Manager_Name,Order_Priority,Payment_Mode,Insurance,Return_Status,Remarks
S981356,O13241,C2917,Jane Smith,jane@,+916827957610,Chennai,UK,West,110001.0,P8388,,Food,32.8703679109448,15.0,1261.2741334908098,181861.21559136725,2024-06-03,2022-04-01,10.0,In Transit,Road,V525,,Bike,R897,7342.820680526852,1779.5949701260106,,South Hub,Mr. Patel,,Card,Yes,Pending,
S316311,O56814,C9290,Jane Smith,,+918882137895,Delhi,U.K.,East,,P2622,,,76.19811233738129,17.0,2394.7420389966887,95960.8310986921,2023-10-11,2023-02-11,10.0,Pending,Rail,V221,Mr. Lee,Cargo,R843,5630.916918983429,419.635431707086,,Central,Mr. Patel,,Cash,Yes,,
S470009,O66124,C1239,Amit Kumar,amit@gmail.com,+916621089428,Delhi,U.K.,West,560001.0,P3748,Charger,Furniture,11.235196985833793,3.0,4221.339973902669,12926.827000405874,2022-04-01,2020-03-10,8.0,DELAYED,Air,V224,Mrs. Patel,Bike,R252,8641.039994658273,1267.0122150755228,Warehouse A,South Hub,Mr. Patel,High,Online,No,Not Returned,Delayed delivery
S459529,O28293,C5966,michael brown,jane@,+918061558996,Bangalore,India,North,110001.0,P7317,Laptop,Furniture,54.89767279465632,10.0,912.2019229319939,54459.71878580739,2023-06-22,2020-09-04,14.0,Cancelled,Road,V126,Mr. Rao,Bike,R142,3845.0863690497854,1463.6602901953722,Hub C,North Hub,Ms. Verma,,Online,Yes,,Delayed delivery
S372486,O40352,C6710,Fatima Noor,,+919316399195,Bangalore,,South,400001.0,P9767,Mobile,Electronics,76.19811233738129,9.0,2127.286521221502,177191.33481676033,2022-03-04,2024-10-24,1.0,DELAYED,Ship,V950,Mr. Lee,Truck,R538,7342.820680526852,1384.7745955000685,Warehouse B,South Hub,Ms. Verma,Low,,No,Not Returned,Handle with care
S730324,O51123,C5297,John Doe,,+918969053206,Chennai,U.K.,,560001.0,P8911,Headphones,Clothing,37.766741825312565,11.0,2473.7388485041297,21598.497764749005,2024-07-16,2022-11-14,0.0,In Transit,Ship,V531,Mr. Rao,Van,R894,8217.077304198368,523.8880632416447,Warehouse B,South Hub,Ms. Verma,High,Debet,Yes,,Check packaging
S695578,O96764,C1073,,john@example.com,+919471555785,Delhi,UK,West,400001.0,P1028,Tablet,Food,12.39962747086102,9.0,472.02821195246,50746.4205647399,2021-08-10,2021-05-09,0.0,,Road,V326,,,R919,8170.9595009805425,1513.8522225386318,Warehouse B,South Hub,Mr. Khan,,Online,,Returned,
S734726,O77929,C3183,michael brown,amit@gmail.com,+917852158344,Chennai,UK,,400001.0,P3552,Headphones,Food,43.04033132667569,10.0,2473.7388485041297,18639.484645313456,2023-01-17,2023-07-27,4.0,In Transit,Road,V529,Mr. Rao,,R213,352.5252197417602,1009.2353840107953,,North Hub,Mr. Khan,High,Card,,Pending,
S728975,O40008,C3098,Jane Smith,amit@gmail.com,+918298796637,Mumbai,,East,600001.0,P7970,Headphones,Electronics,29.47729944970517,11.0,1937.4876677627858,79017.03622621998,2020-09-10,2024-08-04,13.0,Cancelled,Rail,V153,Mr. Lee,Cargo,R520,8916.361692792909,65.59446973231886,Warehouse B,North Hub,Mr. Khan,High,UPI,Yes,Not Returned,Check packaging
S427342,O36381,C5569,John Doe,john@example.com,+916712246490,,India,South,110001.0,P5921,Tablet,Electronics,11.235196985833793,11.0,4624.872973105552,90097.76479821977,2022-06-02,2025-06-19,11.0,delayed,Road,V711,Mr. Lee,Bike,R650,6853.33280857354,738.6984001823912,Warehouse A,Central,Mr. Patel,Low,Debet,Yes,Pending,
S595040,O36590,C7121,Li Wei,jane@,+917965500964,Delhi,USA,,560001.0,P7541,Charger,Electronics,97.00603029011843,2.0,307.5872965880739,34984.629437934826,2024-11-23,2023-03-26,-4.0,DELAYED,Road,V265,Mrs. Patel,Cargo,R960,1034.1904113776382,174.41347662778423,Warehouse A,North Hub,,Medium,Credt,Yes,Not Returned,Check packaging
S624042,O58534,C2920,Fatima Noor,jane@,+918084315905,Chennai,,West,400001.0,P9643,Tablet,Clothing,44.29517312709033,17.0,3887.72519106764,10057.478730660614,2025-02-20,2025-01-13,11.0,Pending,,V908,Mrs. Patel,,R957,9505.59236698481,182.9656144420159,Warehouse A,North Hub,,Low,UPI,,Not Returned,Delayed delivery
S451621,O15692,C4872,Fatima Noor,jane@,+919468252530,,us,West,110001.0,P8725,Laptop,Accessories,78.62500815860486,14.0,4682.214831470374,177191.33481676033,2021-07-23,2024-06-18,,DELAYED,Ship,V712,Mr. Lee,Bike,R698,3152.0057823294637,433.1428677108873,,South Hub,Ms. Verma,High,Credt,Yes,Pending,
S317908,O35311,C5672,Li Wei,,+917757682561,mumbai,us,,,P1750,Charger,Clothing,6.972633502035312,5.0,3887.72519106764,129249.4448283645,2023-06-23,2022-06-04,-2.0,delayed,Air,V364,Ms. Sharma,Cargo,R900,3653.713054879444,142.6432470119863,Warehouse B,Central,Mr. Khan,Low,Credt,,Pending,
S986422,O91552,C1894,John Doe,jane@,+916444524102,,India,South,,P8676,Tablet,Food,70.95322149070653,8.0,1955.8260882103048,3103.032580151137,2024-03-16,2023-08-23,-2.0,delayed,Air,V395,Mr. Lee,Van,R838,5527.842773988052,385.69279028999273,Hub C,Central,,High,Debet,No,Pending,
S639574,O65339,C2260,John Doe,jane@,+919440752144,,,West,560001.0,P4181,,Electronics,59.44524960177323,7.0,2473.7388485041297,47175.32970533122,2020-02-23,2022-07-06,11.0,delayed,Ship,V614,Mrs. Patel,,R612,6663.056267014754,151.0244465801482,,North Hub,,Medium,Debet,,Returned,Handle with care
S694897,O55928,C7775,michael brown,jane@,+918536798041,Mumbai,USA,South,400001.0,P2639,Mobile,,80.31859958502694,13.0,3619.05414454862,148375.78601095933,2022-09-21,2023-08-30,9.0,Delivered,,V371,Mr. Lee,,R270,8607.49252558509,490.7450036521326,Warehouse B,Central,Mr. Patel,Medium,Debet,No,,Handle with care
S789076,O58826,C3367,Li Wei,amit@gmail.com,+916820876325,,india,North,400001.0,P4437,Charger,Furniture,92.22648638480013,16.0,4386.362714030262,97446.15289517608,2020-06-03,2020-12-26,12.0,Delivered,Air,V468,Mr. Lee,Bike,R525,2530.987075191979,1267.0122150755228,Warehouse A,North Hub,Ms. Verma,Medium,Debet,Yes,Pending,Check packaging
S942709,O38508,C7140,,,+917656448347,Chennai,india,South,600001.0,P3626,Mobile,Clothing,33.4243534728386,9.0,838.5720371470828,154723.2036324777,2024-03-29,2021-12-28,13.0,Delivered,Air,V756,Mrs. Patel,Van,R669,2231.7611095343395,1779.5949701260106,Warehouse B,North Hub,Mr. Khan,Low,UPI,No,Pending,Check packaging
S416457,O85033,C8390,michael brown,,+917874365656,mumbai,USA,North,600001.0,P9411,Charger,Accessories,45.878963429595075,13.0,405.85280027006627,47175.32970533122,2024-02-06,2024-12-28,8.0,Delivered,Ship,V193,Mr. Lee,Bike,R687,8813.090633228108,632.8260178130992,,,Mr. Patel,,Cash,,Not Returned,Check packaging
S618003,O67221,C2313,michael brown,amit@gmail.com,+918979222732,Chennai,,East,600001.0,P9366,,Furniture,82.95938216061697,13.0,802.3631791511527,52705.98887664019,2020-01-22,2022-02-19,12.0,In Transit,Rail,V831,Ms. Sharma,Cargo,R777,6853.33280857354,709.6553950141215,Hub C,,Ms. Verma,Medium,Credt,Yes,Pending,
S863513,O68324,C8159,Li Wei,john@example.com,+919884978524,Bangalore,UK,,600001.0,P3125,Laptop,Accessories,68.5811861379596,4.0,3619.9653685616213,78221.03063667503,2021-04-20,2021-02-04,-3.0,DELAYED,Road,V587,Mr. Rao,Van,R218,7392.572989838913,731.0664400538368,,North Hub,Mr. Patel,High,,No,Not Returned,Handle with care
